production_id,product_id,production_date,line_id,qty_produced,shift,machine_id,operator_id,status,year,month,month_name,quarter,day_of_week,week_number
PRD-000001,FP-007,2023-09-19,Line-A,11,Afternoon,MCH-10,OPR-006,Partial,2023,9,Sep,3,Tuesday,38
PRD-000002,FP-006,2022-12-03,Line-C,14,Night,MCH-05,OPR-016,Partial,2022,12,Dec,4,Saturday,48
PRD-000003,FP-007,2022-01-27,Line-B,19,Afternoon,MCH-02,OPR-048,Scrapped,2022,1,Jan,1,Thursday,4
PRD-000004,FP-004,2024-11-22,Line-D,37,Afternoon,MCH-06,OPR-012,Completed,2024,11,Nov,4,Friday,47
PRD-000005,FP-009,2024-04-27,Line-B,10,Afternoon,MCH-06,OPR-007,Partial,2024,4,Apr,2,Saturday,17
PRD-000006,FP-001,2022-08-03,Line-B,17,Afternoon,MCH-13,OPR-009,Completed,2022,8,Aug,3,Wednesday,31
PRD-000007,FP-010,2023-11-21,Line-B,8,Morning,MCH-11,OPR-038,Partial,2023,11,Nov,4,Tuesday,47
PRD-000008,FP-006,2023-01-27,Line-D,5,Morning,MCH-02,OPR-005,Partial,2023,1,Jan,1,Friday,4
PRD-000009,FP-006,2024-02-25,Line-D,30,Night,MCH-14,OPR-032,Completed,2024,2,Feb,1,Sunday,8
PRD-000010,FP-001,2023-08-13,Line-A,9,Afternoon,MCH-13,OPR-033,Completed,2023,8,Aug,3,Sunday,32
PRD-000011,FP-003,2023-07-23,Line-B,4,Morning,MCH-15,OPR-021,Partial,2023,7,Jul,3,Sunday,29
PRD-000012,FP-001,2024-02-16,Line-D,2,Night,MCH-06,OPR-002,Completed,2024,2,Feb,1,Friday,7
PRD-000013,FP-003,2023-07-16,Line-D,14,Night,MCH-04,OPR-009,Completed,2023,7,Jul,3,Sunday,28
PRD-000014,FP-007,2022-09-29,Line-A,2,Night,MCH-08,OPR-033,Scrapped,2022,9,Sep,3,Thursday,39
PRD-000015,FP-002,2024-11-19,Line-D,2,Afternoon,MCH-07,OPR-042,Completed,2024,11,Nov,4,Tuesday,47
PRD-000016,FP-004,2024-02-28,Line-C,7,Afternoon,MCH-05,OPR-040,Scrapped,2024,2,Feb,1,Wednesday,9
PRD-000017,FP-009,2022-03-11,Line-C,30,Morning,MCH-04,OPR-055,Completed,2022,3,Mar,1,Friday,10
PRD-000018,FP-007,2024-06-24,Line-B,9,Morning,MCH-01,OPR-040,Completed,2024,6,Jun,2,Monday,26
PRD-000019,FP-002,2023-01-28,Line-D,18,Afternoon,MCH-07,OPR-010,Completed,2023,1,Jan,1,Saturday,4
PRD-000020,FP-005,2023-06-12,Line-C,25,Night,MCH-14,OPR-007,Completed,2023,6,Jun,2,Monday,24
PRD-000021,FP-005,2023-09-19,Line-D,22,Morning,MCH-12,OPR-049,Partial,2023,9,Sep,3,Tuesday,38
PRD-000022,FP-010,2023-07-18,Line-B,14,Afternoon,MCH-10,OPR-037,Partial,2023,7,Jul,3,Tuesday,29
PRD-000023,FP-010,2023-02-25,Line-C,16,Afternoon,MCH-07,OPR-012,Partial,2023,2,Feb,1,Saturday,8
PRD-000024,FP-006,2024-04-10,Line-D,9,Night,MCH-14,OPR-054,Completed,2024,4,Apr,2,Wednesday,15
PRD-000025,FP-002,2022-09-10,Line-C,26,Afternoon,MCH-09,OPR-034,Partial,2022,9,Sep,3,Saturday,36
PRD-000026,FP-003,2022-03-19,Line-A,8,Morning,MCH-03,OPR-053,Scrapped,2022,3,Mar,1,Saturday,11
PRD-000027,FP-006,2024-08-11,Line-D,20,Morning,MCH-03,OPR-037,Scrapped,2024,8,Aug,3,Sunday,32
PRD-000028,FP-006,2024-07-07,Line-A,8,Morning,MCH-03,OPR-049,Partial,2024,7,Jul,3,Sunday,27
PRD-000029,FP-006,2023-03-15,Line-B,27,Afternoon,MCH-07,OPR-008,Completed,2023,3,Mar,1,Wednesday,11
PRD-000030,FP-006,2023-09-28,Line-A,28,Morning,MCH-08,OPR-033,Partial,2023,9,Sep,3,Thursday,39
PRD-000031,FP-002,2022-03-08,Line-D,11,Afternoon,MCH-03,OPR-045,Completed,2022,3,Mar,1,Tuesday,10
