component_id,production_id,part_id,qty_consumed,unit_cost,category,component_cost
CMP-0000001,PRD-000001,P0035,22,228.17,Engine Components,5019.74
CMP-0000002,PRD-000001,P0292,44,484.48,Fuel System,21317.12
CMP-0000003,PRD-000001,P0108,22,555.98,Electrical,12231.56
CMP-0000004,PRD-000001,P0302,11,637.75,Fuel System,7015.25
CMP-0000005,PRD-000002,P0134,28,75.73,Electrical,2120.44
CMP-0000006,PRD-000002,P0225,28,785.69,Cooling System,21999.32
CMP-0000007,PRD-000002,P0177,42,430.87,Structural,18096.54
CMP-0000008,PRD-000003,P0109,57,572.34,Electrical,32623.38
CMP-0000009,PRD-000003,P0299,38,886.23,Fuel System,33676.74
CMP-0000010,PRD-000003,P0009,76,249.1,Engine Components,18931.6
CMP-0000011,PRD-000003,P0020,57,595.06,Engine Components,33918.42
CMP-0000012,PRD-000004,P0187,37,856.45,Structural,31688.65
CMP-0000013,PRD-000004,P0100,74,127.65,Electrical,9446.1
CMP-0000014,PRD-000004,P0106,37,97.65,Electrical,3613.05
CMP-0000015,PRD-000005,P0041,30,213.86,Engine Components,6415.8
CMP-0000016,PRD-000005,P0135,40,191.43,Electrical,7657.2
CMP-0000017,PRD-000005,P0244,10,611.85,Cooling System,6118.5
CMP-0000018,PRD-000005,P0100,40,127.65,Electrical,5106.0
CMP-0000019,PRD-000006,P0209,17,181.96,Structural,3093.32
CMP-0000020,PRD-000006,P0056,17,389.36,Brake Systems,6619.12
CMP-0000021,PRD-000006,P0162,34,656.26,Hydraulics,22312.84
CMP-0000022,PRD-000007,P0086,32,635.63,Brake Systems,20340.16
CMP-0000023,PRD-000007,P0093,8,320.93,Brake Systems,2567.44
CMP-0000024,PRD-000007,P0175,8,201.76,Hydraulics,1614.08
CMP-0000025,PRD-000007,P0083,16,151.78,Brake Systems,2428.48
CMP-0000026,PRD-000007,P0124,24,849.33,Electrical,20383.92
CMP-0000027,PRD-000007,P0119,24,222.53,Electrical,5340.72
CMP-0000028,PRD-000008,P0107,20,728.81,Electrical,14576.2
CMP-0000029,PRD-000008,P0176,20,81.43,Structural,1628.6
CMP-0000030,PRD-000008,P0214,20,419.38,Structural,8387.6
CMP-0000031,PRD-000008,P0251,5,852.44,Cooling System,4262.2
CMP-0000032,PRD-000008,P0109,15,572.34,Electrical,8585.1
CMP-0000033,PRD-000008,P0249,20,554.92,Cooling System,11098.4
CMP-0000034,PRD-000009,P0112,30,726.64,Electrical,21799.2
CMP-0000035,PRD-000009,P0106,60,97.65,Electrical,5859.0
CMP-0000036,PRD-000009,P0212,30,868.87,Structural,26066.1
CMP-0000037,PRD-000009,P0211,90,889.75,Structural,80077.5
CMP-0000038,PRD-000009,P0107,120,728.81,Electrical,87457.2
CMP-0000039,PRD-000009,P0105,120,90.04,Electrical,10804.8
CMP-0000040,PRD-000010,P0176,27,81.43,Structural,2198.61
CMP-0000041,PRD-000010,P0190,9,735.61,Structural,6620.49
CMP-0000042,PRD-000010,P0141,18,539.01,Hydraulics,9702.18
CMP-0000043,PRD-000010,P0137,9,241.78,Hydraulics,2176.02
CMP-0000044,PRD-000011,P0166,8,783.59,Hydraulics,6268.72
CMP-0000045,PRD-000011,P0200,16,213.86,Structural,3421.76
CMP-0000046,PRD-000011,P0144,4,76.03,Hydraulics,304.12
CMP-0000047,PRD-000011,P0195,4,495.2,Structural,1980.8
CMP-0000048,PRD-000011,P0113,12,235.54,Electrical,2826.48
CMP-0000049,PRD-000011,P0161,4,625.79,Hydraulics,2503.16
CMP-0000050,PRD-000012,P0083,6,151.78,Brake Systems,910.68
CMP-0000051,PRD-000012,P0140,6,862.98,Hydraulics,5177.88
CMP-0000052,PRD-000012,P0146,2,748.41,Hydraulics,1496.82
CMP-0000053,PRD-000012,P0089,6,367.64,Brake Systems,2205.84
CMP-0000054,PRD-000012,P0185,6,544.26,Structural,3265.56
CMP-0000055,PRD-000013,P0173,14,535.84,Hydraulics,7501.76
CMP-0000056,PRD-000013,P0130,42,782.16,Electrical,32850.72
CMP-0000057,PRD-000013,P0168,14,847.84,Hydraulics,11869.76
CMP-0000058,PRD-000014,P0105,8,90.04,Electrical,720.32
CMP-0000059,PRD-000014,P0127,8,616.04,Electrical,4928.32
CMP-0000060,PRD-000014,P0131,6,202.32,Electrical,1213.92
CMP-0000061,PRD-000014,P0133,4,32.15,Electrical,128.6
CMP-0000062,PRD-000014,P0048,2,779.5,Engine Components,1559.0
CMP-0000063,PRD-000014,P0118,8,569.67,Electrical,4557.36
CMP-0000064,PRD-000015,P0232,8,276.28,Cooling System,2210.24
CMP-0000065,PRD-000015,P0103,6,528.29,Electrical,3169.74
CMP-0000066,PRD-000015,P0304,2,31.59,Fuel System,63.18
CMP-0000067,PRD-000015,P0233,6,22.17,Cooling System,133.02
CMP-0000068,PRD-000015,P0115,6,855.79,Electrical,5134.74
CMP-0000069,PRD-000015,P0040,6,345.48,Engine Components,2072.88
CMP-0000070,PRD-000016,P0216,7,628.04,Structural,4396.28
CMP-0000071,PRD-000016,P0103,7,528.29,Electrical,3698.03
CMP-0000072,PRD-000016,P0098,14,765.49,Electrical,10716.86
CMP-0000073,PRD-000016,P0198,21,122.46,Structural,2571.66
