snapshot_date,part_id,warehouse,stock_level,reorder_point,unit_cost,inventory_value,below_reorder
2022-01-01,P0305,WH-Chicago-IL,498,136,522.46,260185.08,False
2022-01-01,P0263,WH-FortWorth-TX,147,63,774.69,113879.43,False
2022-01-01,P0300,WH-Chicago-IL,266,104,694.1,184630.6,False
2022-01-01,P0266,WH-Erie-PA,766,219,169.21,129614.86,False
2022-01-01,P0173,WH-FortWorth-TX,434,175,535.84,232554.56,False
2022-01-01,P0236,WH-Seattle-WA,527,198,614.82,324010.14,False
2022-01-01,P0184,WH-Chicago-IL,116,156,849.27,98515.32,True
2022-01-01,P0193,WH-Erie-PA,392,112,417.52,163667.84,False
2022-01-01,P0065,WH-FortWorth-TX,91,201,226.24,20587.84,True
2022-01-01,P0306,WH-Chicago-IL,84,73,373.45,31369.8,False
2022-01-01,P0075,WH-Erie-PA,26,43,237.24,6168.24,True
2022-01-01,P0247,WH-Chicago-IL,385,125,352.21,135600.85,False
2022-01-01,P0072,WH-Chicago-IL,95,59,845.95,80365.25,False
2022-01-01,P0063,WH-Seattle-WA,522,179,563.15,293964.3,False
2022-01-01,P0036,WH-FortWorth-TX,559,224,445.1,248810.9,False
2022-01-01,P0119,WH-Chicago-IL,229,168,222.53,50959.37,False
2022-01-01,P0033,WH-Erie-PA,41,34,15.51,635.91,False
2022-01-01,P0134,WH-Seattle-WA,68,40,75.73,5149.64,False
2022-01-01,P0156,WH-Seattle-WA,93,53,449.38,41792.34,False
2022-01-01,P0270,WH-FortWorth-TX,91,45,420.37,38253.67,False
2022-01-01,P0023,WH-Seattle-WA,117,160,209.1,24464.7,True
2022-01-01,P0138,WH-Chicago-IL,107,71,650.75,69630.25,False
2022-01-01,P0086,WH-FortWorth-TX,31,39,635.63,19704.53,True
2022-01-01,P0206,WH-Seattle-WA,124,178,657.56,81537.44,True
2022-01-01,P0141,WH-FortWorth-TX,191,92,539.01,102950.91,False
2022-01-01,P0286,WH-Erie-PA,316,87,116.67,36867.72,False
2022-01-01,P0040,WH-Seattle-WA,443,145,345.48,153047.64,False
2022-01-01,P0155,WH-Seattle-WA,560,151,506.33,283544.8,False
2022-01-01,P0068,WH-Erie-PA,382,119,203.64,77790.48,False
2022-01-01,P0051,WH-Erie-PA,28,49,261.51,7322.28,True
2022-01-01,P0055,WH-Chicago-IL,250,97,350.39,87597.5,False
2022-01-01,P0128,WH-Erie-PA,50,36,127.95,6397.5,False
2022-01-01,P0140,WH-Erie-PA,765,213,862.98,660179.7,False
2022-01-01,P0257,WH-Erie-PA,773,195,883.12,682651.76,False
2022-01-01,P0116,WH-Seattle-WA,155,70,750.05,116257.75,False
2022-01-01,P0121,WH-Seattle-WA,211,168,71.84,15158.24,False
2022-01-01,P0308,WH-Chicago-IL,383,132,108.69,41628.27,False
2022-01-01,P0142,WH-Chicago-IL,569,183,698.65,397531.85,False
2022-01-01,P0197,WH-Seattle-WA,34,142,501.06,17036.04,True
2022-01-01,P0050,WH-Chicago-IL,74,65,184.56,13657.44,False
2022-01-01,P0037,WH-Seattle-WA,397,170,126.3,50141.1,False
