order_id,part_id,supplier_id,order_date,qty_ordered,qty_received,unit_cost,total_order_value,status,priority,expected_delivery_days
ORD-000001,P0121,SUP-005,2022-10-30,159,159,71.84,11422.56,Delivered,Standard,8
ORD-000002,P0039,SUP-007,2022-11-10,515,459,660.99,340409.85,Pending,Low,23
ORD-000003,P0162,SUP-006,2023-10-24,460,460,656.26,301879.6,Delivered,Urgent,17
ORD-000004,P0141,SUP-022,2023-09-13,67,67,539.01,36113.67,Delivered,Low,5
ORD-000005,P0237,SUP-018,2023-09-28,48,48,136.05,6530.4,Delivered,Standard,29
ORD-000006,P0040,SUP-024,2023-08-11,102,76,345.48,35238.96,Backordered,Low,15
ORD-000007,P0298,SUP-021,2024-08-05,52,51,445.67,23174.84,Pending,Low,23
ORD-000008,P0165,SUP-023,2023-01-21,497,77,877.25,435993.25,Backordered,Standard,17
ORD-000009,P0176,SUP-026,2022-07-31,96,82,81.43,7817.28,Backordered,Standard,4
ORD-000010,P0225,SUP-018,2023-05-23,546,162,785.69,428986.74,Backordered,Standard,14
ORD-000011,P0199,SUP-016,2023-08-03,356,306,155.16,55236.96,Cancelled,Standard,28
ORD-000012,P0034,SUP-013,2023-11-17,106,86,792.67,84023.02,Backordered,Urgent,12
ORD-000013,P0309,SUP-006,2023-06-01,351,351,365.25,128202.75,Delivered,Low,24
ORD-000014,P0180,SUP-012,2022-10-17,411,411,841.3,345774.3,Delivered,Low,25
ORD-000015,P0159,SUP-021,2022-06-23,395,168,326.35,128908.25,Cancelled,Standard,24
ORD-000016,P0048,SUP-024,2024-12-14,443,185,779.5,345318.5,Backordered,Standard,14
ORD-000017,P0093,SUP-008,2023-09-25,359,248,320.93,115213.87,In Transit,Standard,10
ORD-000018,P0080,SUP-003,2022-10-09,312,51,503.98,157241.76,In Transit,Low,27
ORD-000019,P0020,SUP-025,2024-12-14,354,316,595.06,210651.24,In Transit,Standard,22
ORD-000020,P0079,SUP-007,2024-02-11,195,177,626.55,122177.25,In Transit,Low,28
ORD-000021,P0225,SUP-002,2022-12-06,430,430,785.69,337846.7,Delivered,Standard,17
ORD-000022,P0230,SUP-009,2023-08-07,556,556,282.38,157003.28,Delivered,Standard,28
ORD-000023,P0100,SUP-014,2024-08-18,594,472,127.65,75824.1,Pending,Standard,27
ORD-000024,P0258,SUP-020,2024-02-22,438,438,367.35,160899.3,Delivered,Standard,28
ORD-000025,P0129,SUP-002,2022-10-11,502,190,514.49,258273.98,In Transit,Low,6
ORD-000026,P0064,SUP-012,2024-11-22,95,20,294.99,28024.05,In Transit,Standard,17
ORD-000027,P0076,SUP-030,2024-11-17,457,457,389.86,178166.02,Delivered,Standard,29
ORD-000028,P0179,SUP-001,2024-07-12,434,434,249.13,108122.42,Delivered,Urgent,19
ORD-000029,P0121,SUP-015,2024-02-05,93,93,71.84,6681.12,Delivered,Standard,3
ORD-000030,P0051,SUP-030,2023-10-15,353,74,261.51,92313.03,In Transit,Standard,4
ORD-000031,P0242,SUP-026,2023-08-11,152,120,675.71,102707.92,In Transit,Urgent,22
ORD-000032,P0041,SUP-001,2022-01-11,272,272,213.86,58169.92,Delivered,Standard,20
ORD-000033,P0217,SUP-005,2024-12-16,305,305,775.52,236533.6,Delivered,Standard,6
ORD-000034,P0123,SUP-016,2022-04-08,478,478,773.21,369594.38,Delivered,Standard,29
ORD-000035,P0306,SUP-021,2024-10-20,26,16,373.45,9709.7,Cancelled,Low,10
ORD-000036,P0150,SUP-016,2022-10-22,11,5,413.96,4553.56,Backordered,Standard,21
ORD-000037,P0096,SUP-025,2024-05-03,97,46,651.7,63214.9,Backordered,Standard,19
ORD-000038,P0260,SUP-021,2024-11-05,30,27,711.31,21339.3,Pending,Urgent,4
ORD-000039,P0192,SUP-011,2024-03-03,26,26,628.9,16351.4,Delivered,Standard,14
ORD-000040,P0054,SUP-028,2023-05-09,350,350,374.68,131138.0,Delivered,Standard,14
ORD-000041,P0090,SUP-030,2023-11-25,485,245,582.71,282614.35,Cancelled,Standard,28
ORD-000042,P0033,SUP-026,2022-10-04,478,478,15.51,7413.78,Delivered,Standard,9
ORD-000043,P0103,SUP-002,2022-03-31,333,333,528.29,-999.0,Delivered,Low,15
ORD-000044,P0130,SUP-002,2024-08-27,205,205,782.16,160342.8,Delivered,Standard,30
ORD-000045,P0170,SUP-011,2022-04-08,137,94,732.86,100401.82,In Transit,Urgent,15
ORD-000046,P0198,SUP-013,2024-06-19,201,177,122.46,24614.46,Pending,Urgent,14
ORD-000047,P0137,SUP-029,2024-11-29,94,54,241.78,22727.32,Cancelled,Standard,16
ORD-000048,P0280,SUP-012,2023-01-05,338,338,751.12,253878.56,Delivered,Standard,13
ORD-000049,P0157,SUP-018,2023-08-29,446,446,372.89,166308.94,Delivered,Urgent,14
ORD-000050,P0022,SUP-027,2024-07-04,371,222,676.11,250836.81,Backordered,Standard,23
ORD-000051,P0039,SUP-025,2022-04-28,425,425,660.99,280920.75,Delivered,Low,28
ORD-000052,P0016,SUP-006,2022-11-24,458,458,660.28,302408.24,Delivered,Standard,5
