production_id,product_id,production_date,line_id,qty_produced,shift,machine_id,operator_id,status
PRD-000001,FP-007,2023-09-19,Line-A,11,Afternoon,MCH-10,OPR-006,Partial
PRD-000002,FP-006,2022-12-03,Line-C,14,Night,MCH-05,OPR-016,Partial
PRD-000003,FP-007,2022-01-27,Line-B,19,Afternoon,MCH-02,OPR-048,Scrapped
PRD-000004,FP-004,2024-11-22,Line-D,37,Afternoon,MCH-06,OPR-012,Completed
PRD-000005,FP-009,2024-04-27,Line-B,10,Afternoon,MCH-06,OPR-007,Partial
PRD-000006,FP-001,2022-08-03,Line-B,17,Afternoon,MCH-13,OPR-009,Completed
PRD-000007,FP-010,2023-11-21,Line-B,8,Morning,MCH-11,OPR-038,Partial
PRD-000008,FP-006,2023-01-27,Line-D,5,Morning,MCH-02,OPR-005,Partial
PRD-000009,FP-006,2024-02-25,Line-D,30,Night,MCH-14,OPR-032,Completed
PRD-000010,FP-001,2023-08-13,Line-A,9,Afternoon,MCH-13,OPR-033,Completed
PRD-000011,FP-003,2023-07-23,Line-B,4,Morning,MCH-15,OPR-021,Partial
PRD-000012,FP-001,2024-02-16,Line-D,2,Night,MCH-06,OPR-002,Completed
PRD-000013,FP-003,2023-07-16,Line-D,14,Night,MCH-04,OPR-009,Completed
PRD-000014,FP-007,2022-09-29,Line-A,2,Night,MCH-08,OPR-033,Scrapped
PRD-000015,FP-002,2024-11-19,Line-D,2,Afternoon,MCH-07,OPR-042,Completed
PRD-000016,FP-004,2024-02-28,Line-C,7,Afternoon,MCH-05,OPR-040,Scrapped
PRD-000017,FP-009,2022-03-11,Line-C,30,Morning,MCH-04,OPR-055,Completed
PRD-000018,FP-007,2024-06-24,Line-B,9,Morning,MCH-01,OPR-040,Completed
PRD-000019,FP-002,2023-01-28,Line-D,18,Afternoon,MCH-07,OPR-010,Completed
PRD-000020,FP-005,2023-06-12,Line-C,25,Night,MCH-14,OPR-007,Completed
PRD-000021,FP-005,2023-09-19,Line-D,22,Morning,MCH-12,OPR-049,Partial
PRD-000022,FP-010,2023-07-18,Line-B,14,Afternoon,MCH-10,OPR-037,Partial
PRD-000023,FP-010,2023-02-25,Line-C,16,Afternoon,MCH-07,OPR-012,Partial
PRD-000024,FP-006,2024-04-10,Line-D,9,Night,MCH-14,OPR-054,Completed
PRD-000025,FP-002,2022-09-10,Line-C,26,Afternoon,MCH-09,OPR-034,Partial
PRD-000026,FP-003,2022-03-19,Line-A,8,Morning,MCH-03,OPR-053,Scrapped
PRD-000027,FP-006,2024-08-11,Line-D,20,Morning,MCH-03,OPR-037,Scrapped
PRD-000028,FP-006,2024-07-07,Line-A,8,Morning,MCH-03,OPR-049,Partial
PRD-000029,FP-006,2023-03-15,Line-B,27,Afternoon,MCH-07,OPR-008,Completed
PRD-000030,FP-006,2023-09-28,Line-A,28,Morning,MCH-08,OPR-033,Partial
PRD-000031,FP-002,2022-03-08,Line-D,11,Afternoon,MCH-03,OPR-045,Completed
PRD-000032,FP-007,2024-12-29,Line-C,8,Night,MCH-15,OPR-038,Completed
PRD-000033,FP-002,2024-11-01,Line-A,10,Night,MCH-15,OPR-001,Completed
PRD-000034,FP-003,2022-03-29,Line-C,2,Afternoon,MCH-08,OPR-022,Completed
PRD-000035,FP-006,2023-01-06,Line-A,9,Night,MCH-07,OPR-015,Completed
PRD-000036,FP-009,2022-02-12,Line-D,12,Afternoon,MCH-06,OPR-050,Completed
PRD-000037,FP-009,2024-02-15,Line-B,11,Morning,MCH-14,OPR-032,Partial
PRD-000038,FP-006,2022-06-16,Line-A,13,Night,MCH-15,OPR-037,Completed
PRD-000039,FP-004,2022-08-30,Line-A,14,Night,MCH-01,OPR-016,Scrapped
PRD-000040,FP-002,2022-08-15,Line-A,13,Night,MCH-10,OPR-019,Completed
PRD-000041,FP-004,2023-02-08,Line-A,25,Night,MCH-08,OPR-011,Completed
PRD-000042,FP-009,2022-11-28,Line-D,5,Night,MCH-07,OPR-043,Partial
PRD-000043,FP-008,2024-08-25,Line-A,2,Afternoon,MCH-15,OPR-057,Completed
PRD-000044,FP-001,2023-09-13,Line-D,24,Morning,MCH-09,OPR-044,Completed
PRD-000045,FP-010,2023-12-06,Line-B,17,Morning,MCH-01,OPR-010,Completed
PRD-000046,FP-007,2023-08-19,Line-D,30,Afternoon,MCH-11,OPR-048,Partial
PRD-000047,FP-010,2024-03-29,Line-D,8,Afternoon,MCH-15,OPR-014,Completed
PRD-000048,FP-010,2023-12-22,Line-C,14,Night,MCH-10,OPR-006,Completed
PRD-000049,FP-007,2023-01-27,Line-C,6,Night,MCH-02,OPR-058,Partial
PRD-000050,FP-005,2024-03-29,Line-D,12,Morning,MCH-07,OPR-023,Completed
PRD-000051,FP-009,2023-06-05,Line-B,10,Morning,MCH-12,OPR-034,Completed
PRD-000052,FP-007,2024-12-03,Line-A,27,Morning,MCH-07,OPR-043,Scrapped
PRD-000053,FP-007,2023-11-16,Line-C,5,Morning,MCH-09,OPR-010,Partial
PRD-000054,FP-009,2024-03-26,Line-C,19,Morning,MCH-03,OPR-039,Completed
PRD-000055,FP-009,2023-05-03,Line-A,14,Morning,MCH-15,OPR-023,Completed
PRD-000056,FP-007,2022-04-18,Line-B,26,Night,MCH-06,OPR-026,Completed
PRD-000057,FP-006,2023-07-20,Line-B,29,Afternoon,MCH-06,OPR-012,Scrapped
PRD-000058,FP-007,2022-05-14,Line-D,3,Night,MCH-15,OPR-002,Completed
PRD-000059,FP-005,2023-05-14,Line-D,16,Afternoon,MCH-13,OPR-003,Scrapped
PRD-000060,FP-001,2022-03-30,Line-A,25,Night,MCH-13,OPR-006,Partial
PRD-000061,FP-005,2024-12-11,Line-B,5,Night,MCH-13,OPR-046,Completed
PRD-000062,FP-002,2024-04-05,Line-C,23,Night,MCH-08,OPR-001,Completed
PRD-000063,FP-008,2024-05-23,Line-B,3,Afternoon,MCH-13,OPR-043,Completed
PRD-000064,FP-007,2023-02-25,Line-B,9,Night,MCH-04,OPR-042,Completed
PRD-000065,FP-010,2024-06-15,Line-A,16,Night,MCH-10,OPR-048,Scrapped
PRD-000066,FP-002,2024-04-25,Line-C,2,Morning,MCH-06,OPR-021,Scrapped
PRD-000067,FP-009,2024-05-08,Line-B,18,Night,MCH-13,OPR-020,Completed
PRD-000068,FP-003,2023-08-03,Line-D,14,Afternoon,MCH-08,OPR-048,Partial
PRD-000069,FP-004,2023-03-02,Line-D,9,Morning,MCH-07,OPR-039,Completed
PRD-000070,FP-004,2024-01-11,Line-C,25,Morning,MCH-12,OPR-015,Scrapped
PRD-000071,FP-003,2024-03-27,Line-D,25,Night,MCH-09,OPR-058,Completed
