component_id,production_id,part_id,qty_consumed
CMP-0000001,PRD-000001,P0035,22
CMP-0000002,PRD-000001,P0292,44
CMP-0000003,PRD-000001,P0108,22
CMP-0000004,PRD-000001,P0302,11
CMP-0000005,PRD-000002,P0134,28
CMP-0000006,PRD-000002,P0225,28
CMP-0000007,PRD-000002,P0177,42
CMP-0000008,PRD-000003,P0109,57
CMP-0000009,PRD-000003,P0299,38
CMP-0000010,PRD-000003,P0009,76
CMP-0000011,PRD-000003,P0020,57
CMP-0000012,PRD-000004,P0187,37
CMP-0000013,PRD-000004,P0100,74
CMP-0000014,PRD-000004,P0106,37
CMP-0000015,PRD-000005,P0041,30
CMP-0000016,PRD-000005,P0135,40
CMP-0000017,PRD-000005,P0244,10
CMP-0000018,PRD-000005,P0100,40
CMP-0000019,PRD-000006,P0209,17
CMP-0000020,PRD-000006,P0056,17
CMP-0000021,PRD-000006,P0162,34
CMP-0000022,PRD-000007,P0086,32
CMP-0000023,PRD-000007,P0093,8
CMP-0000024,PRD-000007,P0175,8
CMP-0000025,PRD-000007,P0083,16
CMP-0000026,PRD-000007,P0124,24
CMP-0000027,PRD-000007,P0119,24
CMP-0000028,PRD-000008,P0107,20
CMP-0000029,PRD-000008,P0176,20
CMP-0000030,PRD-000008,P0214,20
CMP-0000031,PRD-000008,P0251,5
CMP-0000032,PRD-000008,P0109,15
CMP-0000033,PRD-000008,P0249,20
CMP-0000034,PRD-000009,P0112,30
CMP-0000035,PRD-000009,P0106,60
CMP-0000036,PRD-000009,P0212,30
CMP-0000037,PRD-000009,P0211,90
CMP-0000038,PRD-000009,P0107,120
CMP-0000039,PRD-000009,P0105,120
CMP-0000040,PRD-000010,P0176,27
CMP-0000041,PRD-000010,P0190,9
CMP-0000042,PRD-000010,P0141,18
CMP-0000043,PRD-000010,P0137,9
CMP-0000044,PRD-000011,P0166,8
CMP-0000045,PRD-000011,P0200,16
CMP-0000046,PRD-000011,P0144,4
CMP-0000047,PRD-000011,P0195,4
CMP-0000048,PRD-000011,P0113,12
CMP-0000049,PRD-000011,P0161,4
CMP-0000050,PRD-000012,P0083,6
CMP-0000051,PRD-000012,P0140,6
CMP-0000052,PRD-000012,P0146,2
CMP-0000053,PRD-000012,P0089,6
CMP-0000054,PRD-000012,P0185,6
CMP-0000055,PRD-000013,P0173,14
CMP-0000056,PRD-000013,P0130,42
CMP-0000057,PRD-000013,P0168,14
CMP-0000058,PRD-000014,P0105,8
CMP-0000059,PRD-000014,P0127,8
CMP-0000060,PRD-000014,P0131,6
CMP-0000061,PRD-000014,P0133,4
CMP-0000062,PRD-000014,P0048,2
CMP-0000063,PRD-000014,P0118,8
CMP-0000064,PRD-000015,P0232,8
CMP-0000065,PRD-000015,P0103,6
CMP-0000066,PRD-000015,P0304,2
CMP-0000067,PRD-000015,P0233,6
